31 0  84.4668 20
32 0  84.4836 20
33 0  84.5011 20
34 0  84.5164 20
35 0  84.5315 20
36 0  84.5459 20
37 0  84.5598 20
38 0  84.5734 20
39 0  84.5846 20
40 0  84.5965 20
41 0  84.6085 20
42 0  84.6183 20
43 0  84.6237 20
44 0  84.6361 20
45 0  84.6445 20
46 0  84.2468 20
47 0  84.2638 20
48 0  84.2799 20
49 0  84.2961 20
50 0  84.3277 20
51 0  84.3592 20
52 0  84.3758 20
53 0  84.3928 20
54 0  84.4072 20
55 0  84.8614 20
56 0  84.8893 20
57 0  84.9134 20
58 0  84.8565 20
59 0  84.9757 20
60 0  85.0204 20
61 0  85.0652 20
62 0  85.1125 20
63 0  85.1366 20
64 0  85.1599 20
65 0  85.1858 20
66 0  85.2103 20
67 0  85.2332 20
68 0  85.2492 20
69 0  85.2715 20
70 0  85.291 20
71 0  85.3105 20
72 0  85.3636 20
73 0  85.3824 20
74 0  85.4056 20
75 0  85.4249 20
76 0  85.2537 20
77 0  85.4541 20
78 0  85.3893 20
79 0  85.4916 20
80 0  85.5098 20
81 0  85.5279 20
82 0  85.5445 20
83 0  85.5605 20
84 0  85.5765 20
85 2.80691  1422.41 20
86 2.44714  1423.26 20
87 2.68609  1396.14 20
88 -3.40292  1396.46 20
89 -3.87583  1390.09 20
90 3.1634  1394.46 20
91 2.96989  1417.18 20
92 3.34537  1399.45 20
93 4.66225  1393.38 20
94 3.19  1399.27 20
95 3.11761  1385.33 20
96 2.91877  1383.92 20
97 2.682  1391.44 20
98 -3.52254  1394.25 20
99 3.78266  1382.87 20
100 4.68901  1399.13 20
101 -3.5739  1408.91 20
102 3.667  1414 20
103 4.32066  1412.5 20
104 -3.44449  1423.63 20
105 3.85101  1424.53 20
106 -3.67194  1415.62 20
107 4.40687  1399.32 20
108 -4.36241  1382.68 20
109 4.85638  1365.68 20
110 4.84168  1319.81 20
111 4.64379  1317.02 20
112 6.22091  1328.34 20
113 5.31297  1343.43 20
114 -7.85396  1305.79 20
115 6.97804  1308.29 20
116 5.46853  1330.13 20
117 5.45853  1337.68 20
118 -4.75511  1358.48 20
119 4.68999  1355.59 20
120 3.38244  1360.84 20
121 4.29875  1364.78 20
122 -3.6402  1385.46 20
123 -4.11425  1391.93 20
124 -3.73692  1397.7 20
125 4.10459  1396.73 20
126 3.80015  1405.08 20
127 4.63811  1397.44 20
128 3.79548  1420.7 20
129 4.97606  1411.3 20
130 3.32501  1414.91 20
131 -4.1251  1421.83 20
132 4.52695  1410.44 20
133 -4.69272  1392.24 20
134 4.55778  1393.65 20
135 -3.02223  1403.34 20
136 -2.73057  1403.78 20
137 2.9428  1398.46 20
138 -2.95638  1415.15 20
139 -3.36557  1417.08 20
140 3.75902  1418.27 20
141 -3.92011  1422.19 20
142 4.36374  1424.88 20
143 -2.68348  1439.72 20
144 2.5816  1447.88 20
145 -3.07162  1328.34 20
146 -2.57702  1244.97 20
147 -3.13388  1244.65 20
148 3.39791  1247.87 20
149 -2.99352  1259.79 20
150 -3.51502  1274.38 20
151 -4.77866  1250.17 20
152 3.78778  1247.52 20
153 -4.25077  1260.42 20
154 4.49372  1245.89 20
155 -3.18459  1273.12 20
156 -4.2332  1271.94 20
157 3.37309  1274.25 20
158 3.13052  1276.54 20
159 -3.8281  1275.79 20
160 3.17285  1289.71 20
161 3.12471  1269.43 20
162 -2.85195  1269.84 20
163 -2.69347  1265.31 20
164 2.83465  1264.35 20
165 3.2039  1269.55 20
166 2.7351  1265.66 20
167 -2.48942  1277.03 20
168 -3.71283  1263.31 20
169 -3.68777  1268.82 20
170 -3.03721  1273.73 20
171 -2.47568  1279.37 20
172 3.12209  1300.39 20
173 3.1046  1324.46 20
174 3.00324  1323.54 20
175 -3.55743  1349.06 20
176 3.04  1354.78 20
177 -3.36409  1373.36 20
178 3.35276  1376.85 20
179 -3.41714  1374.53 20
180 -2.89578  1379.32 20
181 -2.93904  1392.63 20
182 2.9033  1409.57 20
183 3.00171  1396.55 20
184 2.89477  1398.98 20
185 -4.67971  1396.83 20
186 -3.23548  1386.71 20
187 2.24885  1393.81 20
188 2.71166  1398.12 20
189 3.27072  1386.18 20
190 -3.55997  1385.89 20
191 -2.54737  1392.25 20
192 3.51666  1372.01 20
193 -3.27483  1382.83 20
194 -3.88001  1388.56 20
195 3.74508  1412.44 20
196 -2.34215  1438.24 20
197 -3.12983  1428.68 20
198 -3.00827  1431.71 20
199 2.89571  1417.33 20
200 2.70069  1421.13 20
201 3.10499  1415.17 20
202 2.57156  1399.39 20
203 -3.59793  1390.52 20
204 2.96137  1402.34 20
205 3.52516  1400.14 20
206 2.98365  1399.23 20
207 4.24296  1385.59 20
208 -2.68044  1393.11 20
209 2.80821  1403.03 20
210 4.09379  1379.55 20
211 -4.07833  1359.07 20
212 4.31922  1367.11 20
213 -3.8223  1364.74 20
214 -3.31425  1365.53 20
215 3.18916  1376.28 20
216 -3.37889  1374.44 20
217 -3.42954  1395.15 20
218 2.46605  1433.53 20
219 2.48753  1433.49 20
220 -3.72057  1430.87 20
221 2.70696  1428.81 20
222 2.59204  1439.76 20
223 -4.11518  1441.63 20
224 -2.75299  1461.09 20
225 4.2241  1450.8 20
226 -4.1908  1431.53 20
227 -2.94397  1448.89 20
228 -2.59722  1457.09 20
229 2.90423  1457.66 20
230 -2.74438  1454.64 20
231 2.67491  1450.88 20
232 -2.99764  1453.2 20
233 -2.30894  1448.21 20
234 2.60355  1430.04 20
235 3.5131  1443.02 20
236 -2.99156  1400.01 20
237 -2.55484  1366.89 20
238 3.21149  1354.42 20
239 2.62926  1353.85 20
240 -3.56231  1347.33 20
241 -3.19735  1330.26 20
242 3.61278  1309.68 20
243 -4.30317  1267.2 20
244 3.30252  1271.53 20
245 3.00829  1276.48 20
246 3.41279  1264.91 20
247 -2.84111  1265.12 20
248 -4.86963  1238.31 20
249 -3.24411  1243.22 20
250 4.29571  1234.8 20
251 -2.94096  1238.02 20
252 -3.21931  1235.2 20
253 3.94971  1244.42 20
254 4.38632  1247.76 20
255 -3.3677  1263.47 20
256 -3.83534  1243.66 20
257 -3.20705  1227.91 20
258 -2.70701  1230.72 20
259 -3.29803  1230.81 20
260 3.38044  1222.47 20
261 -2.8866  1229.51 20
262 2.81944  1230.71 20
263 2.69293  1227.32 20
264 -3.66357  1227.21 20
265 -3.41347  1220.48 20
266 -3.2061  1218.07 20
267 -2.53943  1215.34 20
268 3.27949  1211.34 20
269 -2.63421  1220.14 20
270 2.81258  1203.03 20
271 2.73756  1204.56 20
272 -3.07774  1205.17 20
273 2.331  1203.3 20
274 -3.72449  1187.65 20
275 -3.08745  1189.01 20
276 4.17704  1181.46 20
277 3.30815  1181.26 20
278 -2.95289  1168.39 20
279 3.02236  1138.19 20
